"","0",""
"3.6l v6 vin d dohc llt","5851","3.6l v6 vin d dohc llt"
"3.7l l5  dohc llr","4101","3.7l l5  dohc llr"
"3.7l l5 vin e dohc","4101","3.7l l5 vin e dohc"
"3.8l -6   638  diesel","17357","3.8l -6   638  diesel"
"3.8l v6  dohc","2136","3.8l v6  dohc"
"3.8l v6 vin 1 dohc","2136","3.8l v6 vin 1 dohc"
"3.8l v6 vin 3 dohc","2136","3.8l v6 vin 3 dohc"
"3.8l v6 vin 5 dohc","2136","3.8l v6 vin 5 dohc"
"3.8l v6 vin 6 dohc","2136","3.8l v6 vin 6 dohc"
"3.8l v6 vin c dohc","2136","3.8l v6 vin c dohc"
"3.8l v6 vin e dohc","2136","3.8l v6 vin e dohc"
"3.8l v6 vin f dohc","2136","3.8l v6 vin f dohc"
"3.8l v6 vin h dohc","2136","3.8l v6 vin h dohc"
"4.2l l6 vin s dohc  vortec","769","4.2l l6 vin s dohc  vortec"
"4.3l v6 vin w ohv  vortec","397","4.3l v6 vin w ohv  vortec"
"4.3l v6 vin x ohv  vortec","213","4.3l v6 vin x ohv  vortec"
"4.3l v6 vin x ohv  vortec","397","4.3l v6 vin x ohv  vortec"
"4.6l v8 vin 2 dohc  tau","2558","4.6l v8 vin 2 dohc  tau"
"4.6l v8 vin f dohc  tau","2558","4.6l v8 vin f dohc  tau"
"4.7l l4 vin 6j  j05d-ta  diesel","4263","4.7l l4 vin 6j  j05d-ta  diesel"
"4.8l l4 vin 4  4he1  diesel","2361","4.8l l4 vin 4  4he1  diesel"
"4.8l v8  ohv","453","4.8l v8  ohv"
"4.8l v8 vin a ohv l20 vortec flex","453","4.8l v8 vin a ohv l20 vortec flex"
"4.8l v8 vin c ohv  vortec","453","4.8l v8 vin c ohv  vortec"
"4.8l v8 vin v ohv  vortec","453","4.8l v8 vin v ohv  vortec"
"5.0l v8 vin m ohv  vortec","63","5.0l v8 vin m ohv  vortec"
"5.2l l4 vin 6  4hk1  diesel","2362","5.2l l4 vin 6  4hk1  diesel"
"5.3l l4 vin 4j  j05c-td  diesel","2393","5.3l l4 vin 4j  j05c-td  diesel"
"5.3l v8  ohv ly5 vortec","2059","5.3l v8  ohv ly5 vortec"
"5.3l v8  ohv  vortec","2059","5.3l v8  ohv  vortec"
"5.3l v8  ohv  vortec flex","2059","5.3l v8  ohv  vortec flex"
"5.3l v8 vin 0 ohv lmg vortec flex","2059","5.3l v8 vin 0 ohv lmg vortec flex"
"5.3l v8 vin 3 ohv lc9 vortec flex","2059","5.3l v8 vin 3 ohv lc9 vortec flex"
"5.3l v8 vin 4 ohv lmf vortec","2059","5.3l v8 vin 4 ohv lmf vortec"
"5.3l v8 vin 4 ohv lmf vortec flex","2059","5.3l v8 vin 4 ohv lmf vortec flex"
"5.3l v8 vin b ohv l33 vortec","2059","5.3l v8 vin b ohv l33 vortec"
"5.3l v8 vin j ohv ly5 vortec","2059","5.3l v8 vin j ohv ly5 vortec"
"5.3l v8 vin l ohv lh8 vortec","2059","5.3l v8 vin l ohv lh8 vortec"
"5.3l v8 vin m ohv lh6 vortec","2059","5.3l v8 vin m ohv lh6 vortec"
"5.3l v8 vin p ohv lh9 vortec","2059","5.3l v8 vin p ohv lh9 vortec"
"5.3l v8 vin p ohv lm4 vortec","2059","5.3l v8 vin p ohv lm4 vortec"
"5.3l v8 vin t ohv lm7 vortec","2059","5.3l v8 vin t ohv lm7 vortec"
"5.3l v8 vin t ohv lm7 vortec electric/gas","2059","5.3l v8 vin t ohv lm7 vortec electric/gas"
"5.3l v8 vin z ohv l59 vortec flex","2059","5.3l v8 vin z ohv l59 vortec flex"
"5.5l v12  dohc","2052","5.5l v12  dohc"
"5.5l v12  sohc 285.950","1088","5.5l v12  sohc 285.950"
"5.7l v8 vin r ohv  vortec","62","5.7l v8 vin r ohv  vortec"
"5.7l v8 vin r ohv  vortec bi-fuel","62","5.7l v8 vin r ohv  vortec bi-fuel"
"5.7l v8 vin r ohv  vortec cng","62","5.7l v8 vin r ohv  vortec cng"
"5.9l l6   isb  diesel","2344","5.9l l6   isb  diesel"
"6.0l v12  dohc","2009","6.0l v12  dohc"
"6.0l v12  sohc 285.980 amg","2009","6.0l v12  sohc 285.980 amg"
"6.0l v8 vin 5 ohv lfa vortec electric/gas","396","6.0l v8 vin 5 ohv lfa vortec electric/gas"
"6.0l v8 vin g ohv l96 vortec flex","396","6.0l v8 vin g ohv l96 vortec flex"
"6.0l v8 vin j ohv lz1 vortec electric/flex","396","6.0l v8 vin j ohv lz1 vortec electric/flex"
"6.0l v8 vin k ohv  vortec","396","6.0l v8 vin k ohv  vortec"
"6.0l v8 vin n ohv  vortec","396","6.0l v8 vin n ohv  vortec"
"6.0l v8 vin u ohv  vortec","396","6.0l v8 vin u ohv  vortec"
"6.0l v8 vin u ohv  vortec bi-fuel","396","6.0l v8 vin u ohv  vortec bi-fuel"
"6.0l v8 vin u ohv  vortec cng","396","6.0l v8 vin u ohv  vortec cng"
"6.0l v8 vin y ohv l76 vortec","396","6.0l v8 vin y ohv l76 vortec"
"6.2l v8 vin 2 ohv l9h vortec flex","5920","6.2l v8 vin 2 ohv l9h vortec flex"
"6.2l v8 vin 8 ohv l92 vortec","5920","6.2l v8 vin 8 ohv l92 vortec"
"6.2l v8 vin f ohv l92 vortec","5920","6.2l v8 vin f ohv l92 vortec"
"6.2l v8 vin f ohv l94 vortec flex","5920","6.2l v8 vin f ohv l94 vortec flex"
"6.5l v8 vin f ohv   diesel","357","6.5l v8 vin f ohv   diesel"
"6.5l v8 vin f ohv l65  diesel","357","6.5l v8 vin f ohv l65  diesel"
"6.6l v8 vin 1 ohv  duramax diesel","17460","6.6l v8 vin 1 ohv  duramax diesel"
"6.6l v8 vin 1 ohv lb7 duramax diesel","17460","6.6l v8 vin 1 ohv lb7 duramax diesel"
"6.6l v8 vin 2 ohv  duramax diesel","17460","6.6l v8 vin 2 ohv  duramax diesel"
"6.6l v8 vin 2 ohv lly duramax diesel","17460","6.6l v8 vin 2 ohv lly duramax diesel"
"6.6l v8 vin 6 ohv lmm duramax diesel","17460","6.6l v8 vin 6 ohv lmm duramax diesel"
"6.6l v8 vin 9 ohv lmm duramax diesel","17460","6.6l v8 vin 9 ohv lmm duramax diesel"
"6.6l v8 vin d ohv lbz duramax diesel","17460","6.6l v8 vin d ohv lbz duramax diesel"
"6.6l v8 vin l ohv lgh duramax diesel","17460","6.6l v8 vin l ohv lgh duramax diesel"
"7.2l l6   c7  diesel","2350","7.2l l6   c7  diesel"
"7.2l l6 vin c  3126  diesel","2350","7.2l l6 vin c  3126  diesel"
"7.2l l6 vin c  c7  diesel","2350","7.2l l6 vin c  c7  diesel"
"7.4l v8 vin d ohv lp4 vortec","400","7.4l v8 vin d ohv lp4 vortec"
"7.4l v8 vin j ohv","400","7.4l v8 vin j ohv"
"7.4l v8 vin j ohv  vortec","400","7.4l v8 vin j ohv  vortec"
"7.7l l6 vin 8j  j08e-ta  diesel","2384","7.7l l6 vin 8j  j08e-ta  diesel"
"7.7l l6 vin 8j  j08e-tb  diesel","2384","7.7l l6 vin 8j  j08e-tb  diesel"
"7.7l l6 vin 8j  j08e-tv  diesel","2384","7.7l l6 vin 8j  j08e-tv  diesel"
"7.7l l6 vin 8j  j08e-tw  diesel","2384","7.7l l6 vin 8j  j08e-tw  diesel"
"7.8l l6 vin 3  6hk1-tc  diesel","2351","7.8l l6 vin 3  6hk1-tc  diesel"
"7.8l l6 vin b  6hk1-tc  diesel","2351","7.8l l6 vin b  6hk1-tc  diesel"
"8.0l l6 vin 1j  j08c-tr  diesel","2396","8.0l l6 vin 1j  j08c-tr  diesel"
"8.0l l6 vin 2j  j08c-tp  diesel","2396","8.0l l6 vin 2j  j08c-tp  diesel"
"8.1l v8 vin e ohv l18 vortec","398","8.1l v8 vin e ohv l18 vortec"
"8.1l v8 vin g ohv  vortec","398","8.1l v8 vin g ohv  vortec"
